Year,State,District,Area_1000_ha,Production_1000_tons,Yield_kg_ha,Crop,Avg_Rainfall_mm,Avg_Temp_C,Soil_Type
2010,Chhattisgarh,Durg,777.92,1319.18,1695.77,RICE,1200,26.0,Red-Yellow
2011,Chhattisgarh,Durg,806.55,1416.48,1756.23,RICE,1200,26.0,Red-Yellow
2012,Chhattisgarh,Durg,807.07,1534.22,1900.97,RICE,1200,26.0,Red-Yellow
2013,Chhattisgarh,Durg,819.44,1296.24,1581.86,RICE,1200,26.0,Red-Yellow
2014,Chhattisgarh,Durg,834.87,1444.24,1729.89,RICE,1200,26.0,Red-Yellow
2015,Chhattisgarh,Durg,817.68,880.6,1076.95,RICE,1200,26.0,Red-Yellow
2016,Chhattisgarh,Durg,858.91,1791.66,2085.96,RICE,1200,26.0,Red-Yellow
2017,Chhattisgarh,Durg,841.13,983.21,1168.92,RICE,1200,26.0,Red-Yellow
2010,Chhattisgarh,Bastar,621.89,1184.98,1905.45,RICE,1200,26.0,Red-Yellow
2011,Chhattisgarh,Bastar,627.73,772.88,1231.23,RICE,1200,26.0,Red-Yellow
2012,Chhattisgarh,Bastar,637.8,1341.33,2103.06,RICE,1200,26.0,Red-Yellow
2013,Chhattisgarh,Bastar,642.79,1265.91,1969.4,RICE,1200,26.0,Red-Yellow
2014,Chhattisgarh,Bastar,646.7,1377.04,2129.33,RICE,1200,26.0,Red-Yellow
2015,Chhattisgarh,Bastar,644.56,664.46,1030.87,RICE,1200,26.0,Red-Yellow
2016,Chhattisgarh,Bastar,656.26,1294.97,1973.24,RICE,1200,26.0,Red-Yellow
2017,Chhattisgarh,Bastar,660.36,801.82,1214.23,RICE,1200,26.0,Red-Yellow
2010,Chhattisgarh,Raipur,915.4,1521.13,1661.71,RICE,1200,26.0,Red-Yellow
2011,Chhattisgarh,Raipur,958.01,1421.37,1483.67,RICE,1200,26.0,Red-Yellow
2012,Chhattisgarh,Raipur,993.68,1974.69,1987.25,RICE,1200,26.0,Red-Yellow
2013,Chhattisgarh,Raipur,1009.22,1749.21,1733.23,RICE,1200,26.0,Red-Yellow
2014,Chhattisgarh,Raipur,1034.99,2127.73,2055.8,RICE,1200,26.0,Red-Yellow
2015,Chhattisgarh,Raipur,986.91,1412.83,1431.57,RICE,1200,26.0,Red-Yellow
2016,Chhattisgarh,Raipur,1009.29,2432.48,2410.09,RICE,1200,26.0,Red-Yellow
2017,Chhattisgarh,Raipur,959.01,1520.95,1585.96,RICE,1200,26.0,Red-Yellow
2010,Chhattisgarh,Bilaspur,705.67,1333.61,1889.83,RICE,1200,26.0,Red-Yellow
2011,Chhattisgarh,Bilaspur,749.08,1557.35,2079.01,RICE,1200,26.0,Red-Yellow
2012,Chhattisgarh,Bilaspur,747.27,1746.82,2337.61,RICE,1200,26.0,Red-Yellow
2013,Chhattisgarh,Bilaspur,726.15,1577.16,2171.95,RICE,1200,26.0,Red-Yellow
2014,Chhattisgarh,Bilaspur,728.84,1683.92,2310.43,RICE,1200,26.0,Red-Yellow
2015,Chhattisgarh,Bilaspur,731.83,1340.65,1831.92,RICE,1200,26.0,Red-Yellow
2016,Chhattisgarh,Bilaspur,727.5,1858.19,2554.21,RICE,1200,26.0,Red-Yellow
2017,Chhattisgarh,Bilaspur,727.94,1295.71,1779.97,RICE,1200,26.0,Red-Yellow
2010,Chhattisgarh,Raigarh,435.05,598.26,1375.15,RICE,1200,26.0,Red-Yellow
2011,Chhattisgarh,Raigarh,421.32,602.66,1430.41,RICE,1200,26.0,Red-Yellow
2012,Chhattisgarh,Raigarh,422.65,641.28,1517.28,RICE,1200,26.0,Red-Yellow
2013,Chhattisgarh,Raigarh,418.44,580.76,1387.92,RICE,1200,26.0,Red-Yellow
2014,Chhattisgarh,Raigarh,408.9,657.79,1608.68,RICE,1200,26.0,Red-Yellow
2015,Chhattisgarh,Raigarh,409.45,414.89,1013.29,RICE,1200,26.0,Red-Yellow
2016,Chhattisgarh,Raigarh,424.24,763.72,1800.23,RICE,1200,26.0,Red-Yellow
2017,Chhattisgarh,Raigarh,411.12,623.29,1516.07,RICE,1200,26.0,Red-Yellow
2010,Chhattisgarh,Surguja,371.28,399.46,1075.9,RICE,1200,26.0,Red-Yellow
2011,Chhattisgarh,Surguja,377.14,530.08,1405.53,RICE,1200,26.0,Red-Yellow
2012,Chhattisgarh,Surguja,373.71,610.07,1632.47,RICE,1200,26.0,Red-Yellow
2013,Chhattisgarh,Surguja,371.71,633.47,1704.2,RICE,1200,26.0,Red-Yellow
2014,Chhattisgarh,Surguja,381.43,687.04,1801.22,RICE,1200,26.0,Red-Yellow
2015,Chhattisgarh,Surguja,369.32,440.9,1193.82,RICE,1200,26.0,Red-Yellow
2016,Chhattisgarh,Surguja,376.38,652.25,1732.96,RICE,1200,26.0,Red-Yellow
2017,Chhattisgarh,Surguja,377.07,524.07,1389.84,RICE,1200,26.0,Red-Yellow
2010,Madhya Pradesh,Jabalpur,151.1,155.0,1025.81,RICE,800,26.0,Black
2011,Madhya Pradesh,Jabalpur,157.6,204.5,1297.59,RICE,800,26.0,Black
2012,Madhya Pradesh,Jabalpur,182.13,292.91,1608.25,RICE,800,26.0,Black
2013,Madhya Pradesh,Jabalpur,188.69,364.36,1931.0,RICE,800,26.0,Black
2014,Madhya Pradesh,Jabalpur,179.0,228.0,1273.74,RICE,800,26.0,Black
2015,Madhya Pradesh,Jabalpur,169.0,189.33,1120.3,RICE,800,26.0,Black
2016,Madhya Pradesh,Jabalpur,225.0,652.66,2900.71,RICE,800,26.0,Black
2017,Madhya Pradesh,Jabalpur,210.2,526.17,2503.19,RICE,800,26.0,Black
2010,Madhya Pradesh,Balaghat,247.9,353.0,1423.96,RICE,800,26.0,Black
2011,Madhya Pradesh,Balaghat,246.7,336.2,1362.79,RICE,800,26.0,Black
2012,Madhya Pradesh,Balaghat,260.77,486.46,1865.48,RICE,800,26.0,Black
